"ahash","0.8.12"
"aho-corasick","1.1.5"
"atomic-waker","1.1.2"
"axum","0.8.8"
"axum-core","0.5.6"
"base64","0.13.1"
"bit-set","0.8.0"
"bit-vec","0.8.0"
"bitflags","2.13.2"
"block-buffer","0.10.4"
"bumpalo","3.20.3"
"bytes","1.12.1"
"castaway","0.2.4"
"cfg-if","1.0.5"
"cfg_aliases","0.2.2"
"compact_str","0.9.1"
"cpufeatures","0.2.17"
"crossbeam-deque","0.8.8"
"crossbeam-epoch","0.9.21"
"crossbeam-utils","0.8.23"
"crypto-common","0.1.7"
"darling","0.20.11"
"darling_core","0.20.11"
"darling_macro","0.20.11"
"dary_heap","0.3.9"
"derive_builder","0.20.2"
"derive_builder_core","0.20.2"
"derive_builder_macro","0.20.2"
"digest","0.10.7"
"eio-conversacion","0.2.4"
"either","1.18.0"
"errno","0.3.14"
"esaxx-rs","0.1.10"
"fancy-regex","0.14.0"
"fnv","1.0.7"
"futures-channel","0.3.34"
"futures-core","0.3.34"
"futures-executor","0.3.34"
"futures-macro","0.3.34"
"futures-sink","0.3.34"
"futures-task","0.3.34"
"futures-util","0.3.34"
"generic-array","0.14.7"
"getrandom","0.3.4"
"http","1.5.0"
"http-body","1.1.0"
"http-body-util","0.1.5"
"httparse","1.10.1"
"httpdate","1.0.3"
"hyper","1.11.1"
"hyper-util","0.1.20"
"ident_case","1.0.1"
"itertools","0.14.0"
"itoa","1.0.18"
"js-sys","0.3.105"
"libc","0.2.189"
"log","0.4.34"
"macro_rules_attribute","0.2.3"
"macro_rules_attribute-proc_macro","0.2.3"
"matchit","0.8.4"
"memchr","2.8.3"
"mime","0.3.17"
"minimal-lexical","0.2.1"
"mio","1.2.3"
"monostate","0.1.18"
"monostate-impl","0.1.18"
"nix","0.31.3"
"nom","7.1.3"
"once_cell","1.21.4"
"opentelemetry","0.31.0"
"opentelemetry_sdk","0.31.0"
"paste","1.0.15"
"pastey","0.2.3"
"percent-encoding","2.3.2"
"pin-project-lite","0.2.17"
"ppv-lite86","0.2.21"
"proc-macro2","1.0.107"
"quote","1.0.47"
"r-efi","5.3.0"
"rand","0.9.5"
"rand_chacha","0.9.0"
"rand_core","0.9.5"
"rayon","1.12.0"
"rayon-cond","0.4.0"
"rayon-core","1.13.0"
"regex","1.13.1"
"regex-automata","0.4.18"
"regex-syntax","0.8.11"
"rustversion","1.0.23"
"ryu","1.0.23"
"serde","1.0.228"
"serde_core","1.0.228"
"serde_derive","1.0.228"
"serde_json","1.0.151"
"serde_path_to_error","0.1.20"
"sha2","0.10.9"
"signal-hook-registry","1.4.8"
"slab","0.4.12"
"smallvec","1.16.1"
"socket2","0.6.5"
"spm_precompiled","0.1.4"
"static_assertions","1.1.0"
"strsim","0.11.1"
"syn","2.0.119"
"syn","3.0.6"
"sync_wrapper","1.0.2"
"thiserror","2.0.21"
"thiserror-impl","2.0.21"
"tokenizers","0.22.2"
"tokio","1.49.0"
"tokio-macros","2.6.1"
"tower","0.5.3"
"tower-layer","0.3.3"
"tower-service","0.3.3"
"typenum","1.20.1"
"unicode-ident","1.0.26"
"unicode-normalization-alignments","0.1.12"
"unicode-segmentation","1.13.3"
"unicode_categories","0.1.1"
"version_check","0.9.5"
"wasi","0.11.1+wasi-snapshot-preview1"
"wasip2","1.0.4+wasi-0.2.12"
"wasm-bindgen","0.2.128"
"wasm-bindgen-macro","0.2.128"
"wasm-bindgen-macro-support","0.2.128"
"wasm-bindgen-shared","0.2.128"
"windows-link","0.2.1"
"windows-sys","0.61.2"
"wit-bindgen","0.57.1"
"zerocopy","0.8.58"
"zerocopy-derive","0.8.58"
"zmij","1.0.23"
