"Inflector","0.11.4"
"accelerate-src","0.3.2"
"addr2line","0.25.1"
"adler2","2.0.1"
"ahash","0.8.12"
"aho-corasick","1.1.4"
"akin","0.4.0"
"aligned","0.4.3"
"aligned-vec","0.6.4"
"allocator-api2","0.2.21"
"android_system_properties","0.1.5"
"annotate-snippets","0.12.10"
"anstream","0.6.21"
"anstyle","1.0.13"
"anstyle-parse","0.2.7"
"anstyle-query","1.1.5"
"anstyle-wincon","3.0.11"
"anyhow","1.0.100"
"apodize","1.0.0"
"approx","0.5.1"
"ar_archive_writer","0.5.1"
"arbitrary","1.4.2"
"arg_enum_proc_macro","0.3.4"
"arraydeque","0.5.1"
"arrayvec","0.7.6"
"as-any","0.3.2"
"as-slice","0.2.1"
"async-trait","0.1.89"
"atomic-waker","1.1.2"
"autocfg","1.5.0"
"av-scenechange","0.14.1"
"av1-grain","0.2.5"
"avif-serialize","0.8.6"
"aws-lc-rs","1.15.4"
"aws-lc-sys","0.37.0"
"axum","0.8.8"
"axum-core","0.5.6"
"backtrace","0.3.76"
"base16ct","0.2.0"
"base64","0.13.1"
"base64","0.22.1"
"bigdecimal","0.4.10"
"bindgen","0.69.5"
"bit-set","0.5.3"
"bit-set","0.8.0"
"bit-vec","0.6.3"
"bit-vec","0.8.0"
"bit_field","0.10.3"
"bitflags","1.3.2"
"bitflags","2.10.0"
"bitstream-io","4.9.0"
"block","0.1.6"
"block-buffer","0.10.4"
"block2","0.6.2"
"bm25","2.3.2"
"bs58","0.5.1"
"bstr","1.12.1"
"built","0.8.0"
"bumpalo","3.19.1"
"bytemuck","1.24.0"
"bytemuck_derive","1.10.2"
"byteorder","1.5.0"
"byteorder-lite","0.1.0"
"bytes","1.11.1"
"cached","0.56.0"
"cached_proc_macro","0.25.0"
"cached_proc_macro_types","0.1.1"
"candle-core","0.11.0"
"candle-flash-attn-v3","0.11.0"
"candle-kernels","0.11.0"
"candle-metal-kernels","0.11.0"
"candle-nn","0.11.0"
"candle-ug","0.11.0"
"castaway","0.2.4"
"cc","1.2.54"
"cesu8","1.1.0"
"cexpr","0.6.0"
"cfg-if","1.0.4"
"cfg_aliases","0.2.1"
"cfgrammar","0.14.1"
"chrono","0.4.43"
"chrono-tz","0.10.4"
"clang-sys","1.8.1"
"clap","4.5.54"
"clap_builder","4.5.54"
"clap_complete","4.5.65"
"clap_derive","4.5.49"
"clap_lex","0.7.7"
"clipboard-win","5.4.1"
"cmake","0.1.57"
"color_quant","1.1.0"
"colorchoice","1.0.4"
"combine","4.6.7"
"comfy-table","7.2.2"
"compact_str","0.9.0"
"console","0.15.11"
"console","0.16.2"
"convert_case","0.8.0"
"core-foundation","0.9.4"
"core-foundation","0.10.1"
"core-foundation-sys","0.8.7"
"core-graphics-types","0.1.3"
"core2","0.4.0"
"cpufeatures","0.2.17"
"crc32fast","1.5.0"
"crossbeam-deque","0.8.6"
"crossbeam-epoch","0.9.18"
"crossbeam-utils","0.8.21"
"crossterm","0.25.0"
"crossterm","0.28.1"
"crossterm","0.29.0"
"crossterm_winapi","0.9.1"
"crunchy","0.2.4"
"crypto-common","0.1.7"
"cssparser","0.36.0"
"cssparser-macros","0.6.1"
"csv","1.4.0"
"csv-core","0.1.13"
"ctrlc","3.5.1"
"cuda-async","0.3.0"
