fase	segundo_monitor	rss_grupo_kib	disco_bytes	libres_bytes	evidencia_bytes
aprovisionamiento	0	20716	75390976	92342857728	8192
aprovisionamiento	1	112184	181329920	92237008896	12288
aprovisionamiento	2	142904	238305280	92180135936	12288
aprovisionamiento	3	142904	347504640	92070940672	12288
aprovisionamiento	4	142904	405184512	92013133824	12288
aprovisionamiento	5	13156	820736000	91589853184	12288
aprovisionamiento	6	54868	937783296	91480731648	12288
aprovisionamiento	7	46712	1043046400	91375415296	12288
aprovisionamiento	8	128632	1126490112	91291951104	12288
aprovisionamiento	9	10868	1300029440	91118481408	12288
aprovisionamiento	10	21788	1352658944	91065782272	12288
aprovisionamiento	11	79468	1422139392	90996154368	12288
aprovisionamiento	12	31348	1554497536	90864013312	12288
aprovisionamiento	13	29644	1554612224	90863898624	16384
aprovisionamiento	14	56596	1569755136	90848755712	16384
aprovisionamiento	15	112864	1669300224	90743250944	20480
aprovisionamiento	17	19480	1745657856	90672852992	20480
aprovisionamiento	18	20496	1746247680	90672263168	20480
aprovisionamiento	19	20744	1792753664	90625757184	20480
aprovisionamiento	20	20744	1854713856	90563768320	20480
aprovisionamiento	21	20744	1953280000	90465120256	20480
aprovisionamiento	22	20744	2007347200	90410729472	20480
aprovisionamiento	23	20744	2058272768	90360238080	20480
aprovisionamiento	24	20744	2120163328	90298216448	20480
aprovisionamiento	25	20656	2142367744	90276130816	20480
compilacion	0	167692	2154946560	90263494656	24576
compilacion	1	515920	2167914496	90250530816	28672
compilacion	2	789552	2172125184	90246320128	28672
compilacion	3	543476	2195501056	90222587904	28672
compilacion	4	356724	2210701312	90207678464	28672
compilacion	5	660120	2212442112	90204545024	28672
compilacion	6	377092	2252906496	90165297152	28672
compilacion	7	343408	2264596480	90153758720	28672
compilacion	8	548816	2271367168	90144505856	28672
compilacion	10	423052	2281238528	90137055232	28672
compilacion	11	405104	2297458688	90120986624	28672
compilacion	12	603536	2304339968	90113646592	28672
compilacion	13	470344	2315014144	90103365632	28672
compilacion	14	706040	2321666048	90096111616	28672
compilacion	15	344356	2356441088	90062004224	28672
compilacion	16	668320	2363408384	90055036928	28672
compilacion	17	630920	2363408384	90055036928	28672
compilacion	18	563856	2365419520	90052993024	28672
compilacion	19	579972	2369482752	90048962560	28672
compilacion	20	497616	2375237632	90043142144	28672
compilacion	21	535540	2387697664	90030743552	28672
compilacion	22	677496	2391035904	90027163648	28672
compilacion	23	654464	2398564352	90019880960	28672
compilacion	24	535372	2406420480	90012024832	28672
compilacion	25	629264	2411540480	90006904832	28672
compilacion	26	599620	2421346304	89996902400	28672
compilacion	27	586240	2423332864	89995112448	28672
compilacion	29	543168	2430492672	89987948544	28672
compilacion	30	565960	2431442944	89986969600	28672
compilacion	31	403800	2437808128	89980637184	28672
compilacion	32	221232	2454867968	89963515904	28672
compilacion	33	444748	2462769152	89953775616	28672
compilacion	34	326920	2469036032	89949364224	28672
compilacion	35	517836	2475339776	89942806528	28672
compilacion	36	415356	2479755264	89938690048	28672
