segundos_supervisor	rss_grupo_kib	disco_directorios_bytes	libres_bytes	evidencia_bytes
0	26128	30019584	92387794944	8192
1	58468	126681088	92291645440	12288
2	142436	212574208	92205764608	12288
3	142436	276594688	92141498368	12288
4	142436	368029696	92050296832	12288
5	142436	435040256	91983175680	12288
6	10584	884305920	91534135296	12288
7	10556	978309120	91440119808	12288
8	44180	1040134144	91378196480	12288
9	117908	1115234304	91303059456	12288
10	12868	1242169344	91165450240	12288
11	23996	1352450048	91065999360	12288
12	66716	1409159168	91009142784	12288
13	10648	1526738944	90883796992	12288
15	28824	1555550208	90862895104	16384
16	56028	1581490176	90836566016	16384
17	107820	1651216384	90764513280	16384
